partition,item,supply,date,uni,amount,unitPrice
民權,DG0000001296-[健保]羅氏智航血糖試紙(50片),H_D0087-禾馨_裕利,2022-01-08,片,1250,20.9
內湖,DG0000000049-NINCORT ORAL GEL,H_D0036-禾馨_杏輝,2022-01-08,條,36,43.111
內湖,DG0000000370-[管]FENTANYL INJ. 2ML (新/民/,D0150-食藥署,2022-01-08,支,500,38
內湖,DG0000000704-[管]FENTANYL INJ. 10ML(新/民/,D0150-食藥署,2022-01-08,支,1000,90
內湖,DG0000001332-Duphalac杜化液 200ml,H_D0087-禾馨_裕利,2022-01-08,罐,180,137.5
民權藥局,DG0000001240-10MG CRESTOR TAB,H_D0087-禾馨_裕利,2022-01-08,錠,336,12.283
民權藥局,DG0000001239-Crestor 5 MG TAB,H_D0087-禾馨_裕利,2022-01-08,錠,308,9.601
民權藥局,"DG0000001431-ATROPIN EYE DROPS 0.125% ""SINP",H_D0036-禾馨_杏輝,2022-01-08,瓶,200,9.9
新生,DG0000000482-ELOMET 5g(MOMETASONE FUROATE),H_D0087-禾馨_裕利,2022-01-07,條,100,30.35
新生,DG0000001240-10MG CRESTOR TAB,H_D0087-禾馨_裕利,2022-01-07,錠,336,12.283
小禾馨,DG0000000340-RotaTeq輪達停(自費)(MSD),H_D0087-禾馨_裕利,2022-01-07,支,200,1210
小禾馨,DG0000000301-RotaRix羅特律(自費)(GSK),H_D0087-禾馨_裕利,2022-01-07,支,150,1848
小禾馨,DG0000001630-『自費六個月』賽諾菲六合一疫苗,H_D0087-禾馨_裕利,2022-01-07,盒,20,770
民權,DG0000001158-PROPESS 10mg Vaginal Delivery,H_D0006-禾馨_大昌華嘉,2022-01-07,組,75,2200
民權,DG0000001163-NOVORAPID FLEXPEN諾和瑞 諾易筆,H_D0006-禾馨_大昌華嘉,2022-01-07,支,30,242
民權,DG0000000472-Duratocin 100mcg/ml(新生/民權),H_D0006-禾馨_大昌華嘉,2022-01-07,支,225,1466.667
民權,DG0000001539-Wellderm維凝膚矽膠疤痕貼片(4片,H_D0074-禾馨_唯鼎生醫,2022-01-07,盒,100,1320
民權,DG0000000482-ELOMET 5g(MOMETASONE FUROATE),H_D0087-禾馨_裕利,2022-01-07,條,200,30.355
民權,DG0000000022-CEPHANMYCIN CAP 500MG,H_D0022-禾馨_永信藥品,2022-01-07,顆,30000,1.848
民權,DG0000001852-貝膚黛瑪SOS舒益乾癢噴霧,H_D0256-台灣諾奧思,2022-01-07,瓶,6,220
民權,DG0000001851-貝膚黛瑪SOS舒益全面修護組(噴霧,H_D0256-台灣諾奧思,2022-01-07,組,6,352
禾馨眼科,DG0000001412-EYE RINDERON-A SOLUTION,D0005-久裕,2022-01-07,瓶,100,30.2
禾馨眼科,DG0000001867-{30支}TAFLOTAN-S OPH SOLUTION,D0087-裕利,2022-01-07,支,150,13.4
禾馨眼科,DG0000001868-{30支}TAPCOM-S OPH SOLUTION,D0087-裕利,2022-01-07,支,150,15.033
桃園,DG0000000592-Estromon  0.625mg,D0025-生達,2022-01-07,顆,2000,1.85
桃園,DG0000001504-[自費]DOSTINEX TAB 0.5MG,H_D0019-禾馨_文德,2022-01-07,錠,40,137.5
桃園,DG0000000092-PREMARIN VAGINAL CREAM  14GM,H_D0019-禾馨_文德,2022-01-07,條,5,241
桃園,DG0000000028-ERGOMETRINE TAB 0.2MG,H_D0022-禾馨_永信藥品,2022-01-07,顆,2000,1.188
桃園,DG0000000161-FUCON INJ(BUTYLSCOPOLAMINE),H_D0022-禾馨_永信藥品,2022-01-07,支,100,16.5
桃園,DG0000000251-PULIN INJ.(METOCLOPRAMIDE,H_D0022-禾馨_永信藥品,2022-01-07,支,300,7.427
桃園,DG0000001480-Soonmelt Inj.,H_D0022-禾馨_永信藥品,2022-01-07,瓶,10,101.2
桃園,DG0000000056-MYCOMB CREAM 美康乳膏  10Gm,H_D0036-禾馨_杏輝,2022-01-07,條,288,21.559
桃園,DG0000001674-LENOZOLE TAB 2.5MG,H_D0075-禾馨_培力,2022-01-07,錠,180,28.6
桃園,DG0000000045-Diane,H_D0087-禾馨_裕利,2022-01-07,盒,36,195.75
內湖,DG0000001112-Roaccutane 10mg(口服A酸限皮膚,D0087-裕利,2022-01-07,顆,300,37.9
內湖,DG0000001727-MULTIGIVE CREAM 5G 0.5MG/G,H_D0164-禾馨_溫士頓,2022-01-07,支,240,14.3
懷寧,DG0000001671-DALCONE TABLET 250MG,H_D0161-禾馨_華興,2022-01-06,顆,1000,2.2
懷寧,DG0000001334-GLUCOBOSE 50MG華伏醣錠,H_D0161-禾馨_華興,2022-01-06,錠,500,2.2
懷寧,DG0000001792-【200MG】UTROGESTAN,H_D0005-禾馨_久裕,2022-01-06,錠,3375,12.222
懷寧,DG0000000784-AUGMENTIN SYRUP 457MG/5ML(兒),H_D0087-禾馨_裕利,2022-01-06,瓶,12,129.833
懷寧,DG0000000170-SENNAPUR(SENNOSIDE A+B),D0058-科懋,2022-01-06,顆,2000,1
懷寧,DG0000000907-*9價*(3劑)嘉喜子宮頸癌疫苗,H_D0087-禾馨_裕利,2022-01-06,支,100,4400
懷寧,DG0000001674-LENOZOLE TAB 2.5MG,H_D0075-禾馨_培力,2022-01-06,錠,180,28.6
懷寧,DG0000001220-850MG Glucophage TAB,H_D0237-禾馨_長捷,2022-01-06,錠,1190,2.2
懷寧,DG0000001736-(冷藏)Elonva150ug/0.5ml,H_D0087-禾馨_裕利,2022-01-06,SET,4,22000
懷寧,DG0000001725-(冷藏)Decapeptyl Sol 0.1mg(民/,H_D0006-禾馨_大昌華嘉,2022-01-06,SET,35,407
新生,DG0000000638-Spersin ointment 10g,H_D0055-禾馨_恆富,2022-01-06,條,66,78
新生,DG0000000726-Emla cream5% 30g(皮),H_D0087-禾馨_裕利,2022-01-06,條,2,869
新生,DG0000001009-Xyzal 5mg 驅異樂,H_D0087-禾馨_裕利,2022-01-06,顆,200,2.43
新生,DG0000000175-(冷藏)@Gonal-F 450IU,H_D0087-禾馨_裕利,2022-01-06,支,8,4620
民權,DG0000000374-BEROTEC N 100MCG/PUFF,D0094-嘉鏵,2022-01-06,瓶,5,144
民權,DG0000000904-Duofilm Solution 15ml 史帝富治,D0094-嘉鏵,2022-01-06,瓶,2,165
民權,DG0000001247-Exforge HCT 力安穩 160/5/12.5M,D0094-嘉鏵,2022-01-06,錠,56,11.786
民權,DG0000000389-FLIXOTIDE EVOHALER 50 MCG (兒),D0094-嘉鏵,2022-01-06,瓶,6,179
民權,DG0000001201-FREE GEL 7.5 MG/GM,D0094-嘉鏵,2022-01-06,支,4,42
民權,DG0000001443-NEURONTIN 鎮頑癲膠囊 400mg,D0094-嘉鏵,2022-01-06,顆,100,8.7
民權,DG0000001600-WECOLI TAB 25MG (BETHANECHOL),D0094-嘉鏵,2022-01-06,SET,1000,1.423
民權,DG0000001724-Androgel 昂斯妥凝膠(民/懷),H_D0005-禾馨_久裕,2022-01-06,包,30,121
民權,DG0000000342-CETIRIZINE SOL(30ML)(兒),H_D0068-禾馨_晟德,2022-01-06,瓶,100,17.6
民權,DG0000000017-Ferrum Tab 100mg,H_D0069-禾馨_泰宗,2022-01-06,顆,1000,4.136
民權,DG0000001211-Divigel 0.1%,H_D0073-禾馨-健喬信元,2022-01-06,包,560,10.489
民權,DG0000000607-Mepiform美皮豐矽膠片,H_D0107-禾馨_歐強國際,2022-01-06,片,300,1210
民權,DG0000000728-Dynastat 40mg powder for solut,H_D0219-禾馨_美立恒,2022-01-06,瓶,30,660
民權,DG0000001312-SOFUNI OINTMENT 2%15G,H_D0234-禾馨_常勝津,2022-01-06,支,35,104.514
民權,DG0000000108-(需冷藏)OVIDREL 250 mcg,H_D0087-禾馨_裕利,2022-01-06,支,10,604.9
民權,DG0000000826-*自費*M-M-R II(非常備),H_D0087-禾馨_裕利,2022-01-06,瓶,10,308
民權小禾馨,DG0000000302-Anti-phen syrup(兒),H_D0068-禾馨_晟德,2022-01-06,瓶,600,15.95
懷寧小禾馨,DG0000000340-RotaTeq輪達停(自費)(MSD),H_D0087-禾馨_裕利,2022-01-06,支,150,1210
懷寧小禾馨,DG0000000342-CETIRIZINE SOL(30ML)(兒),H_D0068-禾馨_晟德,2022-01-06,瓶,100,17.6
懷寧小禾馨,DG0000000351-60ml*CETIRIZINE SOL(民/小),H_D0068-禾馨_晟德,2022-01-06,瓶,100,30.8
懷寧小禾馨,DG0000000326-WEMPTY胃利空口服懸浮液(民/小),H_D0068-禾馨_晟德,2022-01-06,瓶,100,19.8
士林小禾馨,DG0000000340-RotaTeq輪達停(自費)(MSD),H_D0087-禾馨_裕利,2022-01-06,支,20,1210
禾馨眼科,DG0000001478-B.S.S. BALANCED SALT SOLUTION,D0006-大昌華嘉,2022-01-06,支,15,144.933
禾馨眼科,DG0000001861-SYSTANE Hydration UD單支裝30*0,D0006-大昌華嘉,2022-01-06,盒,66,243.939
桃園,DG0000001552-[管]Stilnox Tab 10mg(原廠),D0094-嘉鏵,2022-01-06,錠,200,2
桃園,DG0000000076-[管]Xanax 0.5mg (Alprazolam),D0094-嘉鏵,2022-01-06,顆,200,2
桃園,DG0000000606-BAIN INJECTION 10MG/ML(婦),D0094-嘉鏵,2022-01-06,支,20,45
桃園,DG0000000667-CLEOCIN T GEL 1%(皮),D0094-嘉鏵,2022-01-06,條,6,185
桃園,DG0000001624-INDOY CAPSULES,D0094-嘉鏵,2022-01-06,SET,320,1.2
桃園,DG0000000071-(17-OHP)Progeston Depot 125mg,D0197-阿德比,2022-01-06,盒,23,2086.957
桃園,DG0000000300-Prevenar13沛兒(自費) (新生/民,H_D0005-禾馨_久裕,2022-01-06,支,80,2667.5
桃園,DG0000001193-Novamin Tab 5mg,H_D0005-禾馨_久裕,2022-01-06,錠,1000,1.65
桃園,DG0000000163-NOVAMIN 5mg INJ((Prochlorperaz,H_D0005-禾馨_久裕,2022-01-06,瓶,100,16.83
桃園,DG0000000472-Duratocin 100mcg/ml(新生/民權),H_D0006-禾馨_大昌華嘉,2022-01-06,支,225,1466.667
桃園,DG0000000692-Tractocile 7.5 mg/ml(民權),H_D0006-禾馨_大昌華嘉,2022-01-06,支,9,4151.333
桃園,DG0000000342-CETIRIZINE SOL(30ML)(兒),H_D0068-禾馨_晟德,2022-01-06,瓶,100,17.6
桃園,DG0000000305-CYPROMIN 0.4 mg/mlL(兒),H_D0068-禾馨_晟德,2022-01-06,瓶,100,13.2
桃園,DG0000000326-WEMPTY胃利空口服懸浮液(民/小),H_D0068-禾馨_晟德,2022-01-06,瓶,100,19.8
桃園,DG0000000017-Ferrum Tab 100mg,H_D0069-禾馨_泰宗,2022-01-06,顆,1000,4.136
桃園,DG0000001211-Divigel 0.1%,H_D0073-禾馨-健喬信元,2022-01-06,包,84,10.488
桃園,DG0000000893-ULEXIN susp 25mg/ML(小/民),H_D0073-禾馨-健喬信元,2022-01-06,瓶,20,132
桃園,DG0000000340-RotaTeq輪達停(自費)(MSD),H_D0087-禾馨_裕利,2022-01-06,支,200,1210
桃園,DG0000000174-CRINONE 8% Progesterone vag g,H_D0087-禾馨_裕利,2022-01-06,條,60,220
桃園,DG0000000482-ELOMET 5g(MOMETASONE FUROATE),H_D0087-禾馨_裕利,2022-01-06,條,200,30.355
桃園,DG0000001630-『自費六個月』賽諾菲六合一疫苗,H_D0087-禾馨_裕利,2022-01-06,盒,60,770
桃園,DG0000000784-AUGMENTIN SYRUP 457MG/5ML(兒),H_D0087-禾馨_裕利,2022-01-06,瓶,10,129.8
桃園,DG0000000607-Mepiform美皮豐矽膠片,H_D0107-禾馨_歐強國際,2022-01-06,片,50,1210
桃園,DG0000001566-TRANEXAMIC ACID INJ 100MG/ML (,H_D0204-禾馨_人力(安星),2022-01-06,SET,100,15.02
桃園,DG0000001678-【2ML】VITAMIN B COMPLEX,H_D0204-禾馨_人力(安星),2022-01-06,AMP,100,17.33
民權藥局,DG0000001885-LYRICA 75MG利瑞卡膠囊,D0094-嘉鏵,2022-01-06,粒,56,16.518
民權藥局,DG0000001887-ARCOXIA TAB 60MG萬克適錠,D0094-嘉鏵,2022-01-06,錠,28,5.179
民權藥局,DG0000001886-CELEBREX CAP 200MG希樂葆膠囊,D0094-嘉鏵,2022-01-06,粒,28,4.179
民權,DG0000000907-*9價*(3劑)嘉喜子宮頸癌疫苗,H_D0087-禾馨_裕利,2022-01-05,支,150,4400
民權,DG0000001799-PCR-COVID,H_D0087-禾馨_裕利,2022-01-05,SET,140,2000
桃園,DG0000000039-UROPRIN TAB 100MG,H_D0022-禾馨_永信藥品,2022-01-05,顆,2000,1.375
桃園,DG0000000039-UROPRIN TAB 100MG,H_D0022-禾馨_永信藥品,2022-01-05,顆,2000,1.375
桃園,DG0000001395-FUCOLE PARAN TAB 理冒伯樂止痛,H_D0022-禾馨_永信藥品,2022-01-05,錠,15000,0.476
桃園,DG0000000039-UROPRIN TAB 100MG,H_D0022-禾馨_永信藥品,2022-01-05,顆,2000,1.375
桃園,DG0000000907-*9價*(3劑)嘉喜子宮頸癌疫苗,H_D0087-禾馨_裕利,2022-01-05,支,150,4400
桃園,DG0000001799-PCR-COVID,H_D0087-禾馨_裕利,2022-01-05,SET,80,2000
內湖,DG0000001539-Wellderm維凝膚矽膠疤痕貼片(4片,H_D0074-禾馨_唯鼎生醫,2022-01-05,盒,120,1320
新生,DG0000000374-BEROTEC N 100MCG/PUFF,D0094-嘉鏵,2022-01-04,瓶,3,143.667
新生,DG0000001217-Norvasc Tab 5MG,D0094-嘉鏵,2022-01-04,錠,140,3.543
新生,DG0000001029-[管]Stilnox 10mg(原廠),D0094-嘉鏵,2022-01-04,顆,1200,2
新生,DG0000001763-POLUPI TAB 50MG,H_D0216-禾馨_祥盛行,2022-01-04,錠,1000,2.2
新生,DG0000000907-*9價*(3劑)嘉喜子宮頸癌疫苗,H_D0087-禾馨_裕利,2022-01-04,支,120,4400
新生,DG0000000704-[管]FENTANYL INJ. 10ML(新/民/,D0150-食藥署,2022-01-03,支,600,90
懷寧,DG0000000039-UROPRIN TAB 100MG,H_D0022-禾馨_永信藥品,2021-12-31,顆,3000,1.375
懷寧,DG0000000039-UROPRIN TAB 100MG,H_D0022-禾馨_永信藥品,2021-12-31,顆,1000,1.375
懷寧,DG0000000039-UROPRIN TAB 100MG,H_D0022-禾馨_永信藥品,2021-12-31,顆,1000,1.375
新生,DG0000001395-FUCOLE PARAN TAB 理冒伯樂止痛,H_D0022-禾馨_永信藥品,2021-12-31,錠,6000,0.476
新生,DG0000001395-FUCOLE PARAN TAB 理冒伯樂止痛,H_D0022-禾馨_永信藥品,2021-12-31,錠,15000,0.476
新生,DG0000001395-FUCOLE PARAN TAB 理冒伯樂止痛,H_D0022-禾馨_永信藥品,2021-12-31,錠,16000,0.476
新生,DG0000000039-UROPRIN TAB 100MG,H_D0022-禾馨_永信藥品,2021-12-31,顆,1000,1.375
民權,DG0000001509-LINDACIN CAPSULES 150MG,H_D0052-禾馨_信東,2021-12-30,粒,3000,1.595
民權,DG0000001395-FUCOLE PARAN TAB 理冒伯樂止痛,H_D0022-禾馨_永信藥品,2021-12-30,錠,30000,0.462
民權,DG0000000039-UROPRIN TAB 100MG,H_D0022-禾馨_永信藥品,2021-12-30,顆,9000,1.375
民權,DG0000000039-UROPRIN TAB 100MG,H_D0022-禾馨_永信藥品,2021-12-30,顆,8000,1.375
民權,DG0000000039-UROPRIN TAB 100MG,H_D0022-禾馨_永信藥品,2021-12-30,顆,2000,1.375
民權小禾馨,DG0000001274-SYNAGIS INJECTION 50mg,H_D0087-禾馨_裕利,2021-12-30,支,2,13544.5
禾馨眼科,DG0000001868-{30支}TAPCOM-S OPH SOLUTION,D0087-裕利,2021-12-30,支,300,15.033
桃園,DG0000001504-[自費]DOSTINEX TAB 0.5MG,H_D0019-禾馨_文德,2021-12-30,錠,56,137.5
小禾馨,DG0000000305-CYPROMIN 0.4 mg/mlL(兒),H_D0068-禾馨_晟德,2021-12-29,瓶,300,13.2
小禾馨,DG0000000302-Anti-phen syrup(兒),H_D0068-禾馨_晟德,2021-12-29,瓶,200,15.95
民權,DG0000000907-*9價*(3劑)嘉喜子宮頸癌疫苗,H_D0087-禾馨_裕利,2021-12-29,支,40,4400
禾馨眼科,DG0000001687-EYLEA 40MG/ML Solution,D0087-裕利,2021-12-29,SET,5,20203
禾馨眼科,DG0000001774-(眼/扣庫1BOT)AVASTIN INJ,D0087-裕利,2021-12-29,瓶,1,8921
桃園,DG0000000207-ZALAIN  Vag Supp.,D0058-科懋,2021-12-29,顆,40,93
懷寧,DG0000001240-10MG CRESTOR TAB,H_D0087-禾馨_裕利,2021-12-28,錠,308,15.601
民權,DG0000001142-Permethrin Cream(民),D0087-裕利,2021-12-28,條,8,330
民權,DG0000001837-[管]FRESOFOL 1% 20ml飛可復,D0212-華德醫材,2021-12-28,支,300,67
民權,DG0000001872-羅氏速讚採血針204支/盒,H_D0087-禾馨_裕利,2021-12-28,盒,20,550
民權,DG0000001297-[健保]羅氏智航血糖試紙(10片),H_D0087-禾馨_裕利,2021-12-28,片,500,20.9
民權,DG0000001871-[自費](50片)羅氏智航血糖試紙,H_D0087-禾馨_裕利,2021-12-28,盒,10,836
懷寧小禾馨,DG0000001630-『自費六個月』賽諾菲六合一疫苗,H_D0087-禾馨_裕利,2021-12-28,盒,20,770
內湖,DG0000001837-[管]FRESOFOL 1% 20ml飛可復,D0212-華德醫材,2021-12-28,支,300,67
